half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
2,14,55,MISS 3PTR,Charlotte,THREADGILL,JACKSON,46,46
2,14,51,REBOUND OFF,Charlotte,MILICIC JR.,IGOR,46,46
2,14,46,MISS 3PTR,Charlotte,GRAVES,NIK,46,46
2,14,43,REBOUND DEF,Davidson,DURKIN,BOBBY,46,46
2,14,32,GOOD 3PTR,Davidson,DURKIN,BOBBY,49,46
2,14,32,ASSIST,Davidson,HUFFMAN,GRANT,49,46
2,14,14,MISS 3PTR,Charlotte,PATTERSON,LU'CYE,49,46
2,14,10,REBOUND DEF,Davidson,LOGAN,SEAN,49,46
2,14,3,MISS LAYUP,Davidson,HUFFMAN,GRANT,49,46
2,14,3,BLOCK,Charlotte,PATTERSON,LU'CYE,49,46
2,13,59,REBOUND DEF,Charlotte,MILICIC JR.,IGOR,49,46
2,13,55,TURNOVER,Charlotte,MILICIC JR.,IGOR,49,46
2,13,55,STEAL,Davidson,LOGAN,SEAN,49,46
2,13,31,GOOD 3PTR,Davidson,DURKIN,BOBBY,52,46
2,13,31,ASSIST,Davidson,LOGAN,SEAN,52,46
2,13,17,TURNOVER,Charlotte,THREADGILL,JACKSON,52,46
2,13,17,STEAL,Davidson,BRIZZI,ANGELO,52,46
2,13,17,SUB OUT,Charlotte,JACKSON,DISHON,52,46
2,13,17,SUB OUT,Charlotte,MILICIC JR.,IGOR,52,46
2,13,17,SUB IN,Charlotte,REIBER,DEAN,52,46
2,13,17,SUB IN,Charlotte,NIAGU,IAROSLAV,52,46
2,13,2,MISS LAYUP,Davidson,ADAM,HUNTER,52,46
2,13,0,REBOUND OFF,Davidson,DURKIN,BOBBY,52,46
2,12,59,GOOD LAYUP,Davidson,DURKIN,BOBBY,54,46
2,12,51,GOOD LAYUP,Charlotte,GRAVES,NIK,54,48
2,12,32,GOOD 3PTR,Davidson,DURKIN,BOBBY,57,48
2,12,32,ASSIST,Davidson,HUFFMAN,GRANT,57,48
2,12,0,GOOD LAYUP,Charlotte,REIBER,DEAN,57,50
2,12,0,ASSIST,Charlotte,THREADGILL,JACKSON,57,50
2,12,0,FOUL,Davidson,ADAM,HUNTER,57,50
2,12,0,Timeout,Davidson,,,57,50
2,12,0,SUB OUT,Charlotte,GRAVES,NIK,57,50
2,12,0,SUB IN,Charlotte,FOLKES,ISAIAH,57,50
2,12,0,SUB OUT,Davidson,LOGAN,SEAN,57,50
2,12,0,SUB IN,Davidson,SKOGMAN,DAVID,57,50
2,12,0,GOOD FT,Charlotte,REIBER,DEAN,57,51
2,11,42,MISS 3PTR,Davidson,DURKIN,BOBBY,57,51
2,11,38,REBOUND OFF,Davidson,HUFFMAN,GRANT,57,51
2,11,33,MISS LAYUP,Davidson,SKOGMAN,DAVID,57,51
2,11,30,REBOUND DEF,Charlotte,NIAGU,IAROSLAV,57,51
2,11,25,GOOD JUMPER,Charlotte,THREADGILL,JACKSON,57,53
2,11,25,ASSIST,Charlotte,FOLKES,ISAIAH,57,53
2,11,5,GOOD LAYUP,Davidson,SKOGMAN,DAVID,59,53
2,11,5,ASSIST,Davidson,HUFFMAN,GRANT,59,53
2,10,43,GOOD LAYUP,Charlotte,NIAGU,IAROSLAV,59,55
2,10,43,ASSIST,Charlotte,FOLKES,ISAIAH,59,55
2,10,22,GOOD 3PTR,Davidson,BRIZZI,ANGELO,62,55
2,10,22,ASSIST,Davidson,DURKIN,BOBBY,62,55
2,10,6,GOOD LAYUP,Charlotte,FOLKES,ISAIAH,62,57
2,9,46,GOOD 3PTR,Davidson,SKOGMAN,DAVID,65,57
2,9,46,ASSIST,Davidson,HUFFMAN,GRANT,65,57
2,9,16,MISS JUMPER,Charlotte,FOLKES,ISAIAH,65,57
2,9,13,REBOUND DEF,Davidson,SKOGMAN,DAVID,65,57
2,9,1,MISS 3PTR,Davidson,SKOGMAN,DAVID,65,57
2,8,56,REBOUND DEF,Charlotte,NIAGU,IAROSLAV,65,57
2,8,49,MISS 3PTR,Charlotte,PATTERSON,LU'CYE,65,57
2,8,45,REBOUND DEF,Davidson,SKOGMAN,DAVID,65,57
2,8,37,FOUL,Charlotte,THREADGILL,JACKSON,65,57
2,8,37,SUB OUT,Charlotte,PATTERSON,LU'CYE,65,57
2,8,37,SUB OUT,Charlotte,NIAGU,IAROSLAV,65,57
2,8,37,SUB IN,Charlotte,GRAVES,NIK,65,57
2,8,37,SUB IN,Charlotte,MILICIC JR.,IGOR,65,57
2,8,37,SUB OUT,Davidson,BRIZZI,ANGELO,65,57
2,8,37,SUB OUT,Davidson,SKOGMAN,DAVID,65,57
2,8,37,SUB IN,Davidson,BAILEY,REED,65,57
2,8,37,SUB IN,Davidson,KOCHERA,CONNOR,65,57
2,8,27,GOOD LAYUP,Davidson,HUFFMAN,GRANT,67,57
2,8,8,GOOD 3PTR,Charlotte,MILICIC JR.,IGOR,67,60
2,8,8,ASSIST,Charlotte,FOLKES,ISAIAH,67,60
2,7,51,MISS JUMPER,Davidson,HUFFMAN,GRANT,67,60
2,7,48,REBOUND DEF,Charlotte,GRAVES,NIK,67,60
2,7,39,GOOD JUMPER,Charlotte,GRAVES,NIK,67,62
2,7,35,Timeout,Charlotte,,,67,62
2,7,35,Timeout,Davidson,,,67,62
2,7,35,SUB OUT,Davidson,ADAM,HUNTER,67,62
2,7,35,SUB IN,Davidson,SKOGMAN,DAVID,67,62
2,7,14,Timeout,Davidson,,,67,62
2,6,50,GOOD 3PTR,Charlotte,REIBER,DEAN,67,65
2,6,50,ASSIST,Charlotte,FOLKES,ISAIAH,67,65
2,6,23,TURNOVER,Davidson,HUFFMAN,GRANT,67,65
2,6,23,STEAL,Charlotte,FOLKES,ISAIAH,67,65
2,6,14,TURNOVER,Charlotte,GRAVES,NIK,67,65
2,6,14,STEAL,Davidson,HUFFMAN,GRANT,67,65
2,5,57,FOUL,Charlotte,MILICIC JR.,IGOR,67,65
2,5,40,FOUL,Charlotte,GRAVES,NIK,67,65
2,5,40,GOOD FT,Davidson,HUFFMAN,GRANT,68,65
2,5,40,MISS FT,Davidson,HUFFMAN,GRANT,68,65
2,5,39,REBOUND OFF,Davidson,BAILEY,REED,68,65
2,5,36,MISS JUMPER,Davidson,BAILEY,REED,68,65
2,5,36,REBOUND DEADB,Davidson,,,68,65
2,5,36,SUB OUT,Davidson,DURKIN,BOBBY,68,65
2,5,36,SUB IN,Davidson,BRIZZI,ANGELO,68,65
2,5,31,TURNOVER,Davidson,BAILEY,REED,68,65
2,5,31,STEAL,Charlotte,REIBER,DEAN,68,65
2,5,31,FOUL,Davidson,BAILEY,REED,68,65
2,5,31,SUB OUT,Charlotte,FOLKES,ISAIAH,68,65
2,5,31,SUB IN,Charlotte,PATTERSON,LU'CYE,68,65
2,5,9,MISS 3PTR,Charlotte,GRAVES,NIK,68,65
2,5,4,REBOUND DEF,Davidson,BAILEY,REED,68,65
2,4,42,FOUL,Charlotte,REIBER,DEAN,68,65
2,4,42,MISS FT,Davidson,BRIZZI,ANGELO,68,65
2,4,42,REBOUND DEADB,Davidson,,,68,65
2,4,42,GOOD FT,Davidson,BRIZZI,ANGELO,69,65
2,4,42,SUB OUT,Davidson,BAILEY,REED,69,65
2,4,42,SUB IN,Davidson,ADAM,HUNTER,69,65
2,4,13,MISS 3PTR,Charlotte,PATTERSON,LU'CYE,69,65
2,4,10,REBOUND DEF,Davidson,HUFFMAN,GRANT,69,65
2,3,55,FOUL,Charlotte,PATTERSON,LU'CYE,69,65
2,3,55,Timeout,Davidson,,,69,65
2,3,43,GOOD LAYUP,Davidson,SKOGMAN,DAVID,71,65
